LCPAT Whigville Lake,-42.9276,-83.1168
LCPAT Squaw Lake,-42.9290833333333,-83.1182166666667
Ode The Boy Scout,-42.926133,-83.11595
LCPAT Stanton Lake,-42.9305,-83.1191166666667
LCPAT Spear Lake,-42.9244,-83.1157833333334
LCPAT Sutter Lake,-42.93195,-83.1195166666667
LCPAT Skinner Lake,-42.92275,-83.1164
LCPAT Terry Lake,-42.93375,-83.11945
Historic Caches of Lapeer County Challenge,-42.925967,-83.125883
LCPAT Tody lake,-42.9354333333333,-83.1189833333333
LCPAT Simmons Lake,-42.9207,-83.1181833333333
LCPAT Trout Lake,-42.936983,-83.11865
LCPAT Seven Ponds Lake,-42.9192166666667,-83.1192333333333
LCPAT Trune Lake,-42.9385833333333,-83.11915
LCPAT Selders Lake,-42.9175333333333,-83.11975
LCPAT Wallace Lake,-42.939883,-83.12025
LCPAT Snack Lake,-42.915433,-83.119317
LCPAT Webster Lake,-42.9414166666667,-83.1211833333333
LCPAT Turtle Lake,-42.914,-83.1185
LCPAT West Lake,-42.9429833333333,-83.1215
LCPAT Sawmill Lake,-42.9122,-83.11805
Stairway to Heaven,-42.9444166666667,-83.1195333333334
LCPAT West Lake II,-42.9446666666667,-83.1214666666666
LCPAT Sawdel Lake,-42.91065,-83.1186833333334
LCPAT West Webster Lake,-42.9464166666667,-83.1214
LCPAT Sans Lake,-42.9092,-83.1201
Urban Meets Country,-42.923817,-83.143117
LCPAT Russell Lake,-42.90795,-83.1219666666667
LCPAT Whelock Lake,-42.9483833333333,-83.1217333333334
LCPAT Round Lake,-42.9068166666667,-83.1237333333333
LCPAT Whitehead Lake,-42.95,-83.1217666666667
LCPAT Rose Lake,-42.9055333333333,-83.1254
LCPAT Wolf Lake,-42.9515333333333,-83.1218333333333
LCPAT Rood Lake,-42.904133,-83.126917
LCPAT Young Lake,-42.9531333333333,-83.1218833333333
Five Spot First Sergeant,-42.946,-83.14205
City Boy's Country Cache,-42.902767,-83.12325
LCPAT Youngs Lake,-42.9547333333333,-83.1218
LCPAT Riley Lake,-42.902417,-83.12765
LCPAT Riddle Lake,-42.9008,-83.127517
LCPAT Algoe Lake,-42.9562666666667,-83.1216333333333
LCPAT Potters Lake,-42.899233,-83.126883
LCPAT Baily Lake,-42.9578333333333,-83.1214333333333
LCPAT Pleasant Lake,-42.897717,-83.126133
LCPAT Baines Lake,-42.9594,-83.1212333333334
LCPAT Pierce Lake,-42.89615,-83.125817
LCPAT Barnes Lake,-42.9611,-83.1210166666667
LCPAT Pickerel Pond,-42.894417,-83.126117
LCPAT Bass Lake,-42.96265,-83.12095
Share the Road ,- Paint-42.9363333333333,-83.1640833333334
LCPAT Pickerel Lake,-42.89275,-83.126583
LCPAT Bass Lake II,-42.96425,-83.1206833333333
Share the Road ,- Fjord-42.9419,-83.164333
LCPAT Bear Lake,-42.96585,-83.12045
LCPAT Mill Pond,-42.891067,-83.127167
LM ,- Pioneer Rest Stop-42.9349,-83.065867
SQ North Dryden Cemetery,-42.96595,-83.1256
Share the Road ,- Akhal Teke-42.944783,-83.16445
Share the Road ,- Pegasus-42.930617,-83.169783
LCPAT Big Fish Lake,-42.9674166666667,-83.1202333333334
LCPAT Peters Lake,-42.8894,-83.127633
William the Troll,-42.967833,-83.106333
LCPAT Brigham Lake,-42.9688666666667,-83.1199
LCPAT ,- Petz Lake-42.887717,-83.128433
LCPAT Bronson Lake,-42.970367,-83.119333
OCPAT ,- Multi Madness #106-42.886167,-83.128967
Share the Road ,- Gypsy Veinner-42.953267,-83.1649
GT ,- Smithville-42.888333,-83.0933
Share the Road,- AQHA-42.9621666666667,-83.0801166666667
LCPAT Bunnel Lake,-42.9720333333333,-83.1185333333333
ORS ,- Grubb School-42.888267,-83.143583
Share the Road ,- Appaloosa-42.955617,-83.16525
OCPAT ,- Multi Madness #105-42.88445,-83.129517
LCPAT Cedar Lake,-42.97355,-83.1177333333333
OCPAT ,- Multi Madness #104-42.88275,-83.130267
Share the Road ,- Selle Francias-42.959067,-83.1654
LCPAT Clear Lake,-42.975133,-83.1169
OCPAT ,- Multi Madness #103-42.881017,-83.1308
Share the Road ,- Paso Fino-42.960817,-83.1656
Share the Road ,- Holsteiner-42.9276,-83.1835
LCPAT Cluebine Lake,-42.976717,-83.116317
Share the Road ,- Shire-42.92315,-83.183317
Share the Road ,- Paso Fino-42.9299,-83.183633
Share the Road ,- Kerry Bog Pony-42.932083,-83.183683
There's Treasure Everywhere,-42.88445,-83.14715
Bert the Troll,-42.97255,-83.088233
Not Broke, Just Bent,-42.883017,-83.143933
Yukon Ho!,-42.885617,-83.151167
Share the Road ,- Pinto-42.962383,-83.165733
Hough Cemetary,-42.9068,-83.056167
OCPAT ,- Multi Madness #102-42.8791,-83.131617
Share the Road ,- Westphalian-42.93935,-83.18405
LCPAT Cooks Lake,-42.97835,-83.1155166666667
The Days Are Just Packed,-42.883767,-83.149583
SQ ,- Ebenezer Hough-42.906467,-83.054967
Share the Road ,- Criollo-42.943,-83.184367
Share the Road ,- Oehippus-42.96545,-83.16575
LCPAT Corbin Lake,-42.9798333333333,-83.11485
Tom the troll,-42.977133,-83.094183
winSlow or winFast,-42.979733,-83.123733
OCPAT ,- Multi Madness #101-42.8775,-83.132133
Share the Road ,- Haflinger-42.944567,-83.1844
Almont's watering trough,-42.920333,-83.047183
Red Back Ranger,-42.9217,-83.046167
GOAC ,- 114-42.93565,-83.04595
Share the Road ,- Buckskin-42.9672,-83.165833
LCPAT Cranberry Lake,-42.9812666666667,-83.1142833333333
HNY 24 ,- Ice Ice Baby Blue Gator 10-42.9769,-83.087383
ORS ,- Howland-42.940833,-83.046333
OCPAT ,- Multi Madness #100-42.875633,-83.13285
Summers Time,-42.981183,-83.10425
Share the Road ,- Morgan-42.968833,-83.1659
HNY 24 ,- Ice Ice Baby Blue Gator 9-42.874083,-83.112467
Wasp Terraium,-42.929652,-83.191465
Share the Road ,- Trakehner-42.9514,-83.18465
LCPAT Cranberry Lake II,-42.9827166666667,-83.1137166666666
